,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
2224,삼선동,종로1.2.3.4가동,127.0146297,37.5908326,126.9902618,37.574461,삼선동종로1.2.3.4가동,4286,879.917,6200
2225,답십리제2동,회천3동,127.06125,37.567417,127.0689798,37.8377866,답십리제2동회천3동,47295,3208.839,45450
2226,중계4동,창제4동,127.0780091,37.6587275,127.0515994,37.6522276,중계4동창제4동,3894,1007.539,6200
2227,신내1동,돈암제1동,127.099538,37.605882,127.0263875,37.6034071,신내1동돈암제1동,9887,2072.449,11900
2228,고덕제1동,명일제1동,127.1515382,37.5572593,127.1443656,37.5512453,고덕제1동명일제1동,1621,454.377,3800
2229,상계6.7동,동선동,127.0669541,37.654882,127.0203666,37.5939824,상계6.7동동선동,9415,1994.694,12000
2230,이태원제1동,노량진제1동,126.9950384,37.5325225,126.942013,37.512308,이태원제1동노량진제1동,6987,1804.057,10300
2231,신정3동,영등포본동,126.8547892,37.5151685,126.9093046,37.5146826,신정3동영등포본동,6631,1231.424,8500
2232,논현2동,부림동,127.037213,37.517342,126.9986011,37.4335392,논현2동부림동,15075,3308.377,19150
2233,신당제4동,신당제6동,127.014687,37.557083,127.0194239,37.5600562,신당제4동신당제6동,1148,272.554,3800
2234,길동,둔촌제2동,127.1426791,37.5345598,127.1419221,37.5332885,길동둔촌제2동,733,247.579,3800
2235,시흥제1동,대림제1동,126.9032625,37.4535411,126.905818,37.4954685,시흥제1동대림제1동,5995,1690.301,10000
2236,묵제2동,신내2동,127.0783313,37.6059528,127.0942306,37.6061896,묵제2동신내2동,2021,527.149,3800
2237,대조동,교남동,126.920813,37.614165,126.9619364,37.5719391,대조동교남동,7705,1402.168,8900
2238,방화제2동,풍납2동,126.8067549,37.5666997,127.1157686,37.5292584,방화제2동풍납2동,35722,4788.75,34400
2239,월곡제1동,안암동,127.0357574,37.6105472,127.0213292,37.5858498,월곡제1동안암동,4543,866.27,5900
2240,홍은제2동,종로1.2.3.4가동,126.9342509,37.5801972,126.9902618,37.574461,홍은제2동종로1.2.3.4가동,6461,1187.908,8200
2241,번제2동,안암동,127.0387953,37.6323588,127.0213292,37.5858498,번제2동안암동,7438,1435.469,9700
2242,이문제3동,회기동,127.065075,37.6033571,127.0553132,37.5908083,이문제3동회기동,2082,534.929,3800
2243,답십리제3동,영등포동,127.0512678,37.5717963,126.9106918,37.5203985,답십리제3동영등포동,19133,3265.211,18900
